sales,date,region
1614.00,2019-07-08,north
1704.00,2019-07-08,south
1797.00,2019-07-08,east
1770.00,2019-07-08,west
1605.00,2019-07-09,north
1686.00,2019-07-09,south
1794.00,2019-07-09,east
1713.00,2019-07-09,west
1755.00,2019-07-10,north
1500.00,2019-07-10,south
1632.00,2019-07-10,east
1800.00,2019-07-10,west
1800.00,2019-07-11,north
1650.00,2019-07-11,south
1704.00,2019-07-11,east
1590.00,2019-07-11,west
1779.00,2019-07-12,north
1554.00,2019-07-12,south
1635.00,2019-07-12,east
1608.00,2019-07-12,west
1791.00,2019-07-13,north
1779.00,2019-07-13,south
1527.00,2019-07-13,east
1689.00,2019-07-13,west
1782.00,2019-07-14,north
1662.00,2019-07-14,south
1620.00,2019-07-14,east
1692.00,2019-07-14,west
1551.00,2019-07-15,north
1620.00,2019-07-15,south
1725.00,2019-07-15,east
1602.00,2019-07-15,west
1518.00,2019-07-16,north
1761.00,2019-07-16,south
1539.00,2019-07-16,east
1614.00,2019-07-16,west
1578.00,2020-10-13,north
1638.00,2020-10-13,south
1515.00,2020-10-13,east
1683.00,2020-10-13,west
1680.00,2020-10-14,north
1755.00,2020-10-14,south
1584.00,2020-10-14,east
1590.00,2020-10-14,west
1518.00,2020-10-15,north
1701.00,2020-10-15,south
1716.00,2020-10-15,east
1563.00,2020-10-15,west
1638.00,2020-10-16,north
1689.00,2020-10-16,south
1515.00,2020-10-16,east
1632.00,2020-10-16,west
1509.00,2020-10-17,north
1791.00,2020-10-17,south
1509.00,2020-10-17,east
1776.00,2020-10-17,west
1524.00,2020-10-18,north
1716.00,2020-10-18,south
1578.00,2020-10-18,east
1713.00,2020-10-18,west
1656.00,2020-10-19,north
1725.00,2020-10-19,south
1554.00,2020-10-19,east
1524.00,2020-10-19,west
1569.00,2020-10-20,north
1758.00,2020-10-20,south
1758.00,2020-10-20,east
1614.00,2020-10-20,west
1740.00,2020-10-21,north
1521.00,2020-10-21,south
1722.00,2020-10-21,east
1605.00,2020-10-21,west
1749.00,2020-10-22,north
1638.00,2020-10-22,south
1710.00,2020-10-22,east
1668.00,2020-10-22,west
1635.00,2020-10-23,north
1533.00,2020-10-23,south
1635.00,2020-10-23,east
1575.00,2020-10-23,west
1737.00,2020-10-24,north
1593.00,2020-10-24,south
1707.00,2020-10-24,east
1536.00,2020-10-24,west
1689.00,2020-10-25,north
1680.00,2020-10-25,south
1605.00,2020-10-25,east
1617.00,2020-10-25,west
1746.00,2020-10-26,north
1518.00,2020-10-26,south
1656.00,2020-10-26,east
1542.00,2020-10-26,west
1581.00,2020-10-27,north
1716.00,2020-10-27,south
1683.00,2020-10-27,east
1518.00,2020-10-27,west
1746.00,2020-10-28,north
1587.00,2020-10-28,south
1644.00,2020-10-28,east
1731.00,2020-10-28,west
1770.00,2020-10-29,north
1692.00,2020-10-29,south
1557.00,2020-10-29,east
1524.00,2020-10-29,west
1773.00,2020-10-30,north
1689.00,2020-10-30,south
1776.00,2020-10-30,east
1686.00,2020-10-30,west
1581.00,2020-10-31,north
1758.00,2020-10-31,south
1755.00,2020-10-31,east
1668.00,2020-10-31,west
1665.00,2020-11-01,north
1551.00,2020-11-01,south
1770.00,2020-11-01,east
1593.00,2020-11-01,west
1734.00,2020-11-02,north
1500.00,2020-11-02,south
1740.00,2020-11-02,east
1686.00,2020-11-02,west
1551.00,2020-11-03,north
1752.00,2020-11-03,south
1746.00,2020-11-03,east
1581.00,2020-11-03,west
1773.00,2020-11-04,north
1788.00,2020-11-04,south
1545.00,2020-11-04,east
1506.00,2020-11-04,west
1644.00,2020-11-05,north
1605.00,2020-11-05,south
1686.00,2020-11-05,east
1539.00,2020-11-05,west
1725.00,2020-11-06,north
1599.00,2020-11-06,south
1659.00,2020-11-06,east
1575.00,2020-11-06,west
1653.00,2020-11-07,north
1641.00,2020-11-07,south
1587.00,2020-11-07,east
1758.00,2020-11-07,west
1785.00,2020-11-08,north
1695.00,2020-11-08,south
1581.00,2020-11-08,east
1734.00,2020-11-08,west
1788.00,2020-11-09,north
1593.00,2020-11-09,south
1593.00,2020-11-09,east
1512.00,2020-11-09,west
1638.00,2020-11-10,north
1734.00,2020-11-10,south
1695.00,2020-11-10,east
1638.00,2020-11-10,west
1695.00,2020-11-11,north
1533.00,2020-11-11,south
1731.00,2020-11-11,east
1689.00,2020-11-11,west
1713.00,2020-11-12,north
1596.00,2020-11-12,south
1686.00,2020-11-12,east
1515.00,2020-11-12,west
1581.00,2020-11-13,north
1521.00,2020-11-13,south
1677.00,2020-11-13,east
1635.00,2020-11-13,west
1749.00,2020-11-14,north
1542.00,2020-11-14,south
1602.00,2020-11-14,east
1557.00,2020-11-14,west
1686.00,2020-11-15,north
1638.00,2020-11-15,south
1794.00,2020-11-15,east
1659.00,2020-11-15,west
1773.00,2020-11-16,north
1671.00,2020-11-16,south
1626.00,2020-11-16,east
1725.00,2020-11-16,west
1686.00,2020-11-17,north
1521.00,2020-11-17,south
1734.00,2020-11-17,east
1530.00,2020-11-17,west
